14A8456 ; tuide ; 18 ; 0.00 
11W4813 ; itoh ; 22 ; 4.00 
18G8205 ; j_jfk ; 24 ; 1.00 
10I2222 ; iqgfi ; 25 ; 15.00 
19J9079 ; naj_i ; 16 ; 1.00 
12A4639 ; ahqiob`l ; 19 ; 15.00 
12X5440 ; towt ; 21 ; 4.00 
19J6467 ; pbfhehwmc ; 30 ; 1.00 
29Q1212 ; `enaw` ; 31 ; 19.00 
21V8676 ; fhvtnraqo ; 22 ; 2.00 
17P7518 ; tbogxjb ; 25 ; 0.00 
11W8477 ; mjdcekjda ; 18 ; 8.00 
28L1879 ; kiojpghbe ; 26 ; 15.00 
12A9564 ; lqesrafq ; 30 ; 6.00 
21X4271 ; qgkv ; 22 ; 20.00 
28M4402 ; semnhtgn ; 16 ; 1.00 
22V9165 ; elgbw_`ko ; 18 ; 14.00 
24K5074 ; f_upv ; 26 ; 8.00 
17N5092 ; _ejcqbkgu ; 26 ; 17.00 
16S4114 ; sbphtgwmj ; 19 ; 11.00 
14F7468 ; gha`dg ; 27 ; 7.00 
20U7398 ; tvwjgric ; 19 ; 5.00 
23S3928 ; bnrubvr ; 23 ; 13.00 
14E2932 ; jbpptheo` ; 24 ; 6.00 
18L1094 ; c`iulea ; 27 ; 4.00 
13H3003 ; ip_l`_psj ; 27 ; 4.00 
13R4238 ; htujb ; 27 ; 9.00 
19V3973 ; sadmuonah ; 18 ; 18.00 
20Y6367 ; t_kqudncg ; 26 ; 15.00 
26J6463 ; iuvebfc ; 19 ; 16.00 
18Z4012 ; rtdbp ; 16 ; 9.00 
25L2121 ; sju_ ; 22 ; 16.00 
21R4474 ; jjveoava ; 21 ; 12.00 
11Y9561 ; xncrqj ; 24 ; 9.00 
23Q6115 ; hgag ; 22 ; 13.00 
18H9067 ; qcvwxpi ; 22 ; 8.00 
25U1619 ; ghiqrg ; 28 ; 10.00 
21S0854 ; wxknjsro ; 29 ; 11.00 
19O3700 ; ohm`ndc ; 29 ; 3.00 
29O9335 ; _fsqiiu ; 25 ; 14.00 
24Z5837 ; qqrv ; 28 ; 9.00 
19V5203 ; kesereb ; 26 ; 13.00 
11F8955 ; ntomx ; 29 ; 5.00 
14K7636 ; pixioc ; 25 ; 2.00 
18C0775 ; pdefceet ; 30 ; 3.00 
11D2741 ; dbgg ; 30 ; 5.00 
11B9099 ; qlhwtpt ; 18 ; 15.00 
27O4485 ; navxd ; 24 ; 17.00 
12M8310 ; fdxawt_ha ; 27 ; 4.00 
16H5390 ; _r`udt ; 28 ; 17.00 
18X5526 ; avojaxiot ; 26 ; 11.00 
19U9950 ; sn_vrctun ; 23 ; 17.00 
18W2362 ; qpwu_p ; 24 ; 9.00 
15N6546 ; vkur`vpfb ; 17 ; 20.00 
25Y7211 ; pq`keg ; 25 ; 2.00 
15S3263 ; fgpnmgr ; 17 ; 1.00 
20M2164 ; voneqaq ; 21 ; 5.00 
26B6742 ; `kbsxbll ; 29 ; 1.00 
17E9543 ; mhjmdoq ; 22 ; 10.00 
21C0211 ; oueen ; 20 ; 11.00 
18Y5356 ; mrnth ; 23 ; 4.00 
25X0791 ; k`itfxbs ; 23 ; 15.00 
19B9527 ; qie`m ; 18 ; 9.00 
28B7951 ; vomw ; 26 ; 20.00 
16C7134 ; qtjaalp_t ; 30 ; 19.00 
27T2992 ; lixtmjx ; 29 ; 8.00 
16S2357 ; qonowdlmw ; 17 ; 16.00 
11G5883 ; pgcq ; 29 ; 13.00 
19F5874 ; iavqnl ; 28 ; 16.00 
14G2022 ; wstameu ; 18 ; 5.00 
15W7153 ; qdwdwpt ; 30 ; 0.00 
26H6194 ; ichgg ; 19 ; 7.00 
20N5512 ; epocgjr ; 29 ; 6.00 
22W9160 ; sfoafac ; 17 ; 16.00 
20T9916 ; cgixpmkfl ; 21 ; 5.00 
25M2180 ; fcxxrv ; 28 ; 18.00 
13B7961 ; `bhjoqqs ; 18 ; 4.00 
19J0503 ; no`frfwt ; 18 ; 15.00 
25S6859 ; wltssld ; 27 ; 12.00 
17A0211 ; kwnfklmpg ; 25 ; 14.00 
20A3659 ; ikfowaok ; 26 ; 15.00 
23W9693 ; seqrgdlg ; 25 ; 0.00 
12D0940 ; m`a_i ; 27 ; 5.00 
11Y8680 ; _bnfqx_ ; 26 ; 2.00 
25E8025 ; pjxc ; 17 ; 19.00 
